URL,Title,Address,Description,Compensation,Employment Type
https://hudsonvalley.craigslist.org/egr/d/tuxedo-park-architectural-millwork/7168797369.html,Architectural Millwork Project Manager,,"
        
Bussola & Ralph is an international millwork company, providing luxury interiors for the retail market.  Our US office is located in Tuxedo Park, NY.
Responsibilities:
-Manage new and ongoing construction projects for luxury brands, from bid to close-out.  
-Coordinate between clients, internal production, architects, general contractors, and sub-contractors.
-Monitor and manage logistics and delivery schedules.
-Schedule and oversee manpower for installations, maintenance, and repairs. .
-Occasional travel for client meetings, site surveys, and layouts. 
-Prepare status reports and updates, both internally and for clients.
-Provide recommendations for improvements and assessment of all fabrication and installation aspects. 
-Responsible for archiving drawings, documents and photos of projects. 
-Assist with organizing tools and preparing job boxes going out for various projects, coordinating delivery of tools.
-Provide support to installation supervisors as needed, including booking flight and accomodations. 
-Maintain and grow local vendor lists around North America. 
-Oversee orders of equipment and material for project needs. 
-Cost control and review, comparing invoices to proposal, negotiating rates, and approving payments. 

Requirements:
-Bachelor’s degree in architecture or design or equivalent and 2 years of project management experience.
-General understanding of US construction procedures.
-Ability to read and understand AutoCAD blueprints and shop drawings.
-Keen attention to detail and accuracy.
-Proficient with MS Office Suite.
-Clear and professional communication.

-Italian speaking preferred but not required.
    ",Open for discussion,full-time
https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-project-manager/7177192489.html,"ESTIMATOR & PROJECT MANAGER (DRYWALL, LATH, ACOUSTICAL)",BROOKLYN,"
        
We are a Brooklyn based commercial union drywall, lath & accoustical contractor who has been in business over forty years. We are seeking candidates to become part of our project management and estimating teams. We are looking to hire at both the junior and senior levels.
Estimator Responsibilities include: 
Preliminary review of bid documents for each project.
Communication with general contractors regarding PFl's & questions.
Completing quantity take offs using On Screen Take Off  
Gathering & understanding of supplier & specialty item pricing.
Completing scope review plus site visits with clients
Analysis of drawing revisions
Organizational skills which allow you to meet deadlines & multi task.
Project Manager responsibilities include:
Analyzing new contracts in order to bring them to fruition
Preparation, negotiation & ordering of long lead and general materials for project completion
Preparation of RFI’s
Monitor project schedule 
Coordinate subcontractors
Attend and represent the firm at weekly project meetings
Maintain quality control
Monitor & prepare change order work related to revised drawings and field conditions
Complete project close outs

All candidates must be self-motivated, responsive and organized.
Salary will be commensurate with experience.
Full Medical, Dental and Vision included.
401K matching and participation.
All inquiries are confidential
Job Type: Full-time
    ",Salary will be commensurate with experience.,full-time
https://hudsonvalley.craigslist.org/egr/d/hawthorne-project-manager-estimator/7170901687.html,Project Manager/Estimator (Construction),,"
        
Project Manager/Estimator

We are a contractor in Hawthorne, New York looking for a Project Manager/Estimator to join our team.  Position is available immediately.

Position Responsibilities:
•	Find Bid Solicitations
•	Take Offs, Material and Labor Costs
•	Solicit Subcontractors
•	Material Pricing
•	Project Submittals
•	AIA Documents
•	Field & Jobsite Supervision (travel daily to sites may be required)

Requirements:
•	Experience in site-work, fencing and security.  
•	Must be Proficient with Microsoft Office, Projects and AutoCAD.
•	Must have valid driver’s license.  
•	OSHA 30
•	Able to clear security background checks
•	Valid References

Salary and benefits based on experience. 
Please email your resume with valid references (must include contact information for references), or fax to (914) 302-3973.

We are an equal opportunity employer    ",Pay based on experience,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-nyc-architect-interior-designer/7177216684.html,NYC Architect/Interior Designer,New York City,"
        
NYC Downtown architecture design firm seeks Architect/Interior Designer with 3-5 years of architecture design experience (healthcare experience a plus). 

Requirements: Proficient in AutoCAD, SketchUp and 3D Modeling; Exposure to Revit and other BIM software; Strong verbal, written communications skills; Degree in Architecture, Interior Design or equivalent.

    ",Commensurate with experience,full-time
https://hudsonvalley.craigslist.org/egr/d/croton-on-hudson-assistant-pm-project/7172962148.html,Assistant PM/ Project Admin,,"
        
Assistant PM/ Project Admin for commercial construction company operating throughout the NY metro area. Offices located in upper Westchester County. Responsibilities include; project document flow control, assisting with scheduling, assisting with change orders and weekly site visits. Must have, at least,  a basic understanding of  construction drawings and documents.  Computer literate with working knowledge of XL and Outlook. Drivers license required. Only applicants with a resume and clear contact information will be considered.    ",salary,full-time
https://newyork.craigslist.org/fct/egr/d/new-canaan-landscape-architect-designer/7177238505.html,Landscape Architect / Designer and Sales Professional,New Canaan,"
        
Landscape Architect / Designer and Sales Professional to join our team. We design and build creative, integrated landscape plans for high-end residential clients.

Candidates should have a proven record in residential landscape design and sales with the ability to present and communicate to a sophisticated client base. Autocad or equivalent software abilities a plus. Designing and selling landscapes with style for the high-end residential market key!
Applicants with a landscape design, landscape architecture background or exterior design are appropriate for this position.

You'll find us in New Canaan in an attractive work environment with exceptional benefits:
401K Plan -Profit Sharing - Pension +

Candidates should forward resumes and letter of interest.
The Elise Design Group and Elise Landscapes & Nursery is an established award winning Landscape Design and Build firm serving the greater Fairfield and Westchester County areas. Our company provides high quality, innovative landscape design, construction and maintenance services as well as retailing landscape plantings, unique garden elements and furnishings. Established 1983.

Position Requirements:

Minimum of 5 years, high-end residential landscape design and/or sales experience
Degree in Landscape Design/Architecture/interior design preferred
The ability to present and communicate design concepts clearly to a sophisticated client base.
Proficiency with landscape design software and related office software
General knowledge of permitting and zoning processes
Desire to grow professionally

Please submit resume in application by email or phone 203-966-2304    ",Based on experience and skill. Excellent benefit program,full-time
https://hudsonvalley.craigslist.org/egr/d/wingdale-draftsperson/7173085668.html,DRAFTSPERSON,,"
        
Responsibilities include drafting all drawings of specific homes from elevations and floor plans, to mechanical and final construction drawings. Experience in wood-frame construction and AutoCAD preferred. 2-4 year degree or related experience. Great benefits: medical, dental & life insurance, ESOP: Employee Stock Ownership Plan (we are 100% employee owned = a great retirement benefit), vacations, holidays and 401(k) Plan.  Call 845-832-9400 or log on to WestchesterModular.com to request application. E.O.E.    ",DOE,full-time
https://newyork.craigslist.org/brk/egr/d/architectural-drafter/7177293773.html,Architectural Drafter,Brooklyn,"
        
Brooklyn Architectural firm seeks:
full-time position for Architectural Drafter


Skills: 
Professional & motivated attitude
AutoCAD Drafting
Written and communication skills 
Standard Microsoft office suite familiarity
Architectural background
Familiarity with NYC Department of Buildings and Mechanical Systems

Responsibilities include:
Written reports / Paperwork 
AutoCAD Drafting


Competitive compensation based on skills/experience

Job seeker to live within 20 miles of 11219 Zip code.    ",Competitive compensation based on skills/experience,full-time
https://hudsonvalley.craigslist.org/egr/d/wingdale-engineer/7173086805.html,ENGINEER,,"
        
Responsibilities include drafting all drawings of specific homes from elevations and floor plans, to mechanical and final construction drawings. Experience in wood-frame construction and AutoCAD preferred. 2-4 year degree or related experience. Great benefits: medical, dental & life insurance, ESOP: Employee Stock Ownership Plan (we are 100% employee owned = a great retirement benefit), vacations, holidays and 401(k) Plan.  Call 845-832-9400 or log on to WestchesterModular.com to request application. E.O.E.    ",DOE,full-time
https://longisland.craigslist.org/egr/d/deer-park-quality-control-inspector/7166741356.html,Quality Control Inspector,,"
        
Quality Control Inspector - Deer Park, NY

Aerospace
Salary $25-30 per hour

Job Description:
Qualifications:
AS9100 knowledge of Aerospace Manufacturing is a must.
Ability to read blueprints with strong understanding of GD&T system
Ability to work with measuring equipment to perform bench inspection
Ability to do independent first piece inspection on machined parts and assemblies
Computer skills with knowledge of InspectionxpertÃÂ© and MS OfficeÃÂ© software
Ability to use CMM ConturaÃÂ® with CALYPSOÃÂ© and OGP Smartscope with MeasureMind

Send resume as a Word document along with salary requirement to: gschiavo@accessstaffing.com

*AN EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER*
    ",25-30/HR,full-time
https://newyork.craigslist.org/brk/egr/d/brooklyn-nyc-dob-class-1-or-2-filing/7177294634.html,NYC DOB Class 1 or 2 Filing Representative,Brooklyn,"
        
Brooklyn Expediting firm seeks:
Full-time position for a class 1 or 2 DOB expediting position

NYC DOB, NYC DOT, FDNY and NYC DEP familiarity required
NYC DOB Class 1 or 2 Filing Rep ID required

Required skills:
professional & motivated attitude
written and communication skills
standard Microsoft office suite familiarity

Responsibilities include:
Written reports / Paperwork
Expediting
Meeting with plan examiners
Client correspondence, etc.    ",Competitive compensation based on skills/experience,full-time
https://hudsonvalley.craigslist.org/egr/d/pleasantville-civil-structural-engineer/7175622930.html,Civil-Structural Engineer,,"
        
IMMEDIATE NEED for a Structural Engineer.  Must be a degreed Civil/Structural Engineer who will work on schools, institutional, commercial and residential building projects.  Knowledge of concrete, steel, and wood structures.  Must be able to check and modify drawings. 5 years of experience or more!  Ability to make changes on AutoCAD.  Understand building codes.  Strong communication skills. 



    ",generous hourly rate; 1.5 for OT,contract
https://longisland.craigslist.org/egr/d/brightwaters-cad-person-wanted/7167355897.html,CAD Person Wanted!,,"
        
Busy ornamental metal fabricator seeks AutoCAD draftsman to produce shop drawings. Applicant must have two years experience with AutoCAD and be willing to train. We are looking for an independent leader with excellent communication skills that is highly organized and reliable. Competitive Salary. Weekdays, no weekends. Please submit resume if interested.

    ",Commensurate with experience,full-time
https://newyork.craigslist.org/brk/egr/d/mechanical-design-engineering/7177295502.html,Mechanical Design Engineering,,"
        
Architectural Design firm in Brooklyn. Seeking an individual with 3-5 years of mechanical design experience .

-Experience with Autocad is required.

-Strong knowledge of NYC building code and energy conservation code.

-Experience in design and specifying of HVAC, Sprinkler, Plumbing, Fire Alarm and Electrical systems.

-Job seeker to live within 20 miles of 11219 Zip code.
    ",Competitive compensation based on skills/experience,full-time
https://hudsonvalley.craigslist.org/egr/d/stottville-designer-draftsperson/7176293694.html,Designer - Draftsperson,,"
        
Claverack Builders is a full service residential design/build firm, specializing in sustainable construction. We both renovate and build new homes in Columbia and Greene County. Claverack Builders also provides design services to clients doing major renovations, additions and new construction. See our website for more information on the company.



Required Skills: 
- experience executing construction drawings, i.e. floor plans, elevations, details, sections, etc.
- comprehensive knowledge of building materials and techniques
- excellent attention to detail
- fluency in AutoCAD

An ideal candidate will have worked for 2-4 years at an architectural design or engineering firm.

Bonus Skills: 
- certification as a Passive House Consultant or strong green building background 
- experience working in construction
- experience with Sketchup

Please send resume and portfolio.

Local applicants only.

If you are an energetic, creative, efficient thinker with impeccable work ethic, apply today. Come work with an rapidly growing, small business with a friendly, fun working environment!    ",Pay rate is competitive based on experience/skill.,full-time
https://longisland.craigslist.org/egr/d/hicksville-transit-man-instrument-man/7167644063.html,Transit Man/Instrument Man,,"
        
Land surveying company located in Hicksville looking for a full time (40 hour a week) Transit man/Instrument man.  Experience Necessary, will be required to work outdoors weekdays, 9am-5pm. Please email your resume, I will review and contact you.    ","I will determine your hourly rate based on your experience, the more experience and knowledge the higher your hourly rate, starting around $15/$16 p/h and higher.",full-time
https://newyork.craigslist.org/stn/egr/d/staten-island-project-manager-jr/7177487025.html,Project manager / Jr. Architect / ACAD drafter,NYC,"
        
All things architecture.  I need help getting the jobs out the door... I have too much work, not enough time.  Tell me what you can do, how much you want to do it.  BTW, you will be working from home.    ",contract base on work required,contract
https://hudsonvalley.craigslist.org/egr/d/millbrook-architectural-associate/7176603488.html,Architectural Associate,,"
        
Seeking a talented & self-motivated candidate to join our team. Must enjoy working in highly creative environment, diligence and attentive to details. Office projects encompass- historic preservation/ renovation, institutional/educational, residential, light commercial.
Qualifications:
•	Professional degree in Architecture in accredited institution
•	Preferred Min. 3 years of proven experience and knowledge in production (schematic to construction documents) and coordination of projects with codes and consultants; however, will train New Grad who is motivated and can follow directives well
•	Proficiency AUTOCAD; SketchUp and/or REVIT is a plus
•	Strong organizational, and communication skills
•	Team Player with positive attitude

Qualified applicants- please send a cover letter describing your experience and how it applies to this job, a copy of your resume and portfolio (one pdf no larger than 5MB)
    ",commensurate with skill sets,full-time
https://longisland.craigslist.org/egr/d/drafter-cad-operator/7168506511.html,Drafter/CAD Operator,,"
        
Opening for a Drafter/CAD Operator:

Responsibilities include:
-Design and preparation of shop drawings of prefabricated enclosure for approval and production drawings for use in the fabrication process
-Communicating with customer regarding projects

This is a Full Time position (Monday-Friday)  8AM-4:30 PM.

Entry Level applicants accepted.  AutoCAD experience is REQUIRED.

Job Requirements:
-Must be able to read and interpret construction drawings.
-Review architectural plans and specs
-Communicate and coordinate with the customer, general contractor, architect/engineer to solve problems
-Prepare shop drawings including floor plan, ceiling plan, elevations, sections, and associated details
-Resolve client questions, problems, or concerns and obtain approval of shop drawings.
-Must have good communication/problem solving skills

Benefits Available (Holidays, Medical, Dental, 401k, more...)

PLEASE SEND RESUME, REFERENCES, AND SALARY REQUIREMENTS!!!    ",SALARY DEPENDS ON EXPERIENCE ($15-$18 per hour),full-time
https://hudsonvalley.craigslist.org/egr/d/clintondale-industrial-designer/7177356812.html,Industrial Designer,,"
        
A rapidly-growing small manufacturer with a plant in Clintondale, New York (between New Paltz and Poughkeepsie) seeks a Mechanical Engineer/Industrial Designer to further design newly-patented equipment sold around the world. Customers include such organizations as Nucor Steel, Mitsubishi, Siemens and the US Air Force. At the moment the company is working on products specifically to help with the coronavirus pandemic.

You will design new products, modify existing ones; develop models, run simulations, and design and test prototypes and final products.

***Pay to be determined based on experience and qualification****

Job Tasks:

* Using company or customer specifications, design new models and modify existing equipment.
* Model the performance of products and optimize their effectiveness in moving and filtering air, pressurizing, and cooling.
* Monitor and identify product/service innovations in the market.
* Prepare design and production documentation including drawings, models, specifications, BOMs, production drawings, special procedures, and manuals.
* Research and recommend equipment and software for the plant.
* Work with customers' staff to adapt our products to accommodate their needs
* Initiate or assist in the vendor selection / evaluation process.
* Support production and marketing as needed.


Ideal Candidate:
* Mechanical Engineer or Industrial Designer
* Solid knowledge of fluid dynamics required.
* Enthusiastic about developing new products.
* Ability to use SolidWorks or similar 3D CAD program to design and modify products
* Ability to document requirements, designs and implementations.
* Competent in compiling bills of materials for fabrication of your designs.
* Able to work with suppliers.
* Hands-on experience on plant floor preferred and must be able to work comfortably with production staff.
* Ability to use hand tools required to be able to help assemble, modify and test prototype units.
* Experience dealing with regulations and nationally-recognized testing laboratories is a plus.
* Experienced in researching new types of components, technologies and suppliers and then optimizing the choices for designs.

Recent graduates are encouraged to apply!

This job is full-time and offers substantial opportunity for advancement. Salary is negotiable based on experience and qualifications. Preference will go to candidates who demonstrate a strong desire to learn and develop new skills, and especially to those driven to solve problems with innovative approaches and by thinking outside the box.

- Would like to hire immediately!

- This is a full time Monday through Friday position.

Please email cover letter, resume and salary requirements to apply!    ",TBD based on Experience,full-time
https://newyork.craigslist.org/wch/egr/d/ridgefield-architect/7178571032.html,Architect,Ridgefield,"
        
Small well-established architectural firm specializing in residential design located in Ridgefield Ct. is looking for a part-time or full time architect/draftsperson. A professional degree is not required but would be preferred, & a license is not required. 
   Candidate should be proficient in Autocad, with Revit & other rendering software proficiency a plus. Tasks will primarily consist of measuring houses, drawing existing floor plans & elevations, developing hand drawn sketches into design drawings & then construction drawings.  
Candidate should be somewhat local to Ridgefield, as there is no interest in working remotely. Should be ambitious, detail oriented, thorough & knowledgeable of materials. 
  Benefits (for full time employees) include paid vacation, personal days & holidays. Salary will be based on experience, & part time work would be done hourly
Please respond with a cover letter, salary (or $/hour), resume & examples of recently completed construction drawings.
    ",hourly based on experience,employee's choice
